Type of Research Design,Advantages,Disadvantages
Longitudinal,Examines changes within individuals over time,Expensive
Longitudinal,Provides a developmental analysis,Takes a long time
Longitudinal,,Participant attrition
Longitudinal,,Possibility of practice effects
Longitudinal,,Cannot examine cohort effects
Cross-sectional,Examines changes between participants of different ages at the same point in time,Cannot examine change over time
Cross-sectional,Provides information on age-related change ,Cannot examine cohort effects
Sequential,Examines changes within individuals over time,May be expensive
Sequential,Examines changes between participants of different ages at the same point in time,Possibility of practice effects
Sequential,Can be used to examine cohort effects,
