Typical Age,What Most Children Do by This Age
3 years,"Can work toys with buttons, levers, and moving parts "
3 years,"Plays make-believe with dolls, animals, and people "
3 years,Does puzzles with 3 or 4 pieces 
3 years,Understands what “two” means
4 years,Names some colors and some numbers 
4 years,Understands the idea of counting 
4 years,Starts to understand time 
4 years,Remembers parts of a story 
4 years,Understands the idea of “same” and “different” 
4 years,Plays board or card games 
4 years,Tells you what he thinks is going to happen next in a book
5 years,Counts 10 or more things 
5 years,"Knows about things used every day, like money and food"
