Disorder/Syndrome,Description
Anxiety Disorders,"Psychological disturbances marked by irrational fears, often of everyday objects and situations. They include generalized anxiety disorder (GAD), panic disorder, phobia, obsessive-compulsive disorder (OCD), and posttraumatic stress disorder (PTSD). Anxiety disorders affect about 57 million Americans every year."
Dissociative Disorders,"Conditions that involve disruptions or breakdowns of memory, awareness, and identity. They include dissociative amnesia, dissociative fugue, and dissociative identity disorder."
Mood Disorders,"Psychological disorders in which the person’s mood negatively influences his or her physical, perceptual, social, and cognitive processes. They include dysthymia, major depressive disorder, and bipolar disorder. Mood disorders affect about 30 million Americans every year."
Schizophrenia,"A serious psychological disorder marked by delusions, hallucinations, loss of contact with reality, inappropriate affect, disorganized speech, social withdrawal, and deterioration of adaptive behavior. About 3 million Americans have schizophrenia."
Personality Disorder,"A long-lasting but frequently less severe disorder characterized by inflexible patterns of thinking, feeling, or relating to others that causes problems in personal, social, and work situations. They are characterized by odd or eccentric behavior, by dramatic or erratic behavior, or by anxious or inhibited behavior. Two of the most important personality disorders are borderline personality disorder (BPD) and antisocial personality disorder (APD)."
Somatization Disorder,"A psychological disorder in which a person experiences numerous long-lasting but seemingly unrelated physical ailments that have no identifiable physical cause. Somatization disorders include conversion disorder, body dysmorphic disorder (BDD), and hypochondriasis."
Factitious Disorder,When patients fake physical symptoms in large part because they enjoy the attention and treatment that they receive in the hospital.
Sexual Disorders,"A variety of problems revolving around performing or enjoying sex. Sexual dysfunctions include problems relating to loss of sexual desire, sexual response or orgasm, and pain during sex."
Paraphilia,"A sexual deviation where sexual arousal is obtained from a consistent pattern of inappropriate responses to objects or people, and in which the behaviors associated with the feelings are distressing and dysfunctional."
Depression,"When symptoms cause serious distress and negatively influence physical, perceptual, social, and cognitive processes. Teens with depression were often dismissed as being moody or difficult. About 11 percent of adolescents have a depressive disorder by age 18 according to the National Comorbidity Survey-Adolescent Supplement (NCS-A).  Depressed teens with coexisting (comorbid) disorders such as substance abuse problems are less likely to respond to treatment for depression. Studies focusing on conditions that frequently co-occur and how they affect one another may lead to more targeted screening tools and interventions. With medication, psychotherapy, or combined treatment, most youth with depression can be effectively treated. Youth are more likely to respond to treatment if they receive it early in the course of their illness."
